encrypt,decrypt
0.579,1.489
0.713,1.634
0.579,1.433
0.58,1.431
0.578,1.434
0.579,1.432
0.58,1.456
0.582,1.447
0.589,1.443
0.581,1.433
0.578,1.43
0.58,1.43
0.578,1.432
0.581,1.43
0.578,1.429
0.577,1.429
0.578,1.429
0.579,1.432
0.582,1.432
0.578,1.435
0.593,1.493
0.715,1.64
0.581,1.481
0.594,1.431
0.577,1.43
0.577,1.452
0.578,1.51
0.716,1.613
0.583,1.435
0.579,1.47
0.581,1.435
0.577,1.458
0.587,1.432
0.579,1.443
0.596,1.435
0.578,1.428
0.577,1.432
0.578,1.429
0.578,1.429
0.577,1.429
0.577,1.428
0.58,1.428
0.577,1.429
0.577,1.429
0.578,1.429
0.578,1.43
0.578,1.429
0.577,1.429
0.577,1.429
0.577,1.429
