encrypt,decrypt
1.645,11.116
1.694,11.02
1.691,11.234
1.752,9.035
0.649,4.044
0.623,4.056
0.632,4.056
0.627,4.044
0.623,4.041
0.632,4.049
0.626,4.056
0.623,4.05
0.623,4.037
0.624,4.042
0.625,4.033
0.626,4.065
0.625,4.08
0.626,4.082
0.625,4.069
0.626,4.079
0.63,4.048
0.624,4.042
0.625,4.042
0.633,4.036
0.624,4.045
0.624,4.043
0.646,4.049
0.638,4.052
0.624,4.038
0.625,4.037
0.63,4.037
0.63,4.066
0.623,4.064
0.636,4.099
0.645,4.15
0.634,4.127
0.649,4.155
0.648,4.073
0.629,4.05
0.63,4.035
0.626,4.06
0.624,4.04
0.625,4.063
0.622,4.065
0.629,4.039
0.622,4.032
0.629,4.248
0.657,4.085
0.623,4.032
0.623,4.034
