encrypt,decrypt
0.913,2.331
0.737,1.925
0.737,1.912
0.737,1.91
0.736,1.912
0.763,1.913
0.741,1.911
0.736,1.913
0.739,1.912
0.737,1.928
0.738,1.913
0.736,1.915
0.762,1.923
0.741,1.915
0.738,1.916
0.738,1.92
0.737,2.295
0.744,1.914
0.737,1.914
0.737,1.914
0.743,2.299
0.738,1.917
0.738,2.299
0.738,1.911
0.737,1.911
0.737,1.912
0.738,2.143
0.892,1.912
0.769,2.272
0.738,1.915
0.737,1.914
0.737,1.912
0.737,1.911
0.737,1.912
0.738,1.923
0.738,1.913
0.737,1.915
0.737,1.914
0.738,1.912
0.736,1.913
0.739,1.912
0.737,1.916
0.736,1.913
0.737,1.913
0.742,1.915
0.738,1.915
0.74,1.915
0.737,1.918
0.741,1.931
0.739,1.921
