encrypt,decrypt
0.764,1.779
0.711,1.807
0.72,1.834
0.921,2.195
0.847,1.969
0.794,1.807
0.773,1.818
0.766,1.847
0.764,1.8
0.707,1.717
0.7,1.724
0.71,1.75
0.778,1.867
0.767,1.849
0.836,1.86
0.74,1.766
0.74,1.858
1.096,2.258
0.833,1.895
0.816,1.981
0.783,2.28
0.837,2.378
0.834,3.2
1.782,3.057
1.222,2.866
1.904,3.918
1.722,4.08
1.633,4.246
1.321,3.504
1.677,4.141
1.901,4.173
1.866,3.644
0.971,1.956
0.734,1.86
0.842,1.947
0.727,1.76
0.736,1.744
0.721,1.767
0.757,1.776
0.765,1.874
0.734,1.665
0.703,1.676
0.687,1.664
1.5,4.59
1.919,4.64
1.876,4.535
1.88,4.548
1.938,4.529
1.88,4.545
1.875,4.456
